Variable,Keywords,Severity,Service,Description,Required,Example Value,Security Notes
NEXTAUTH_SECRET,nextauth auth session secret,CRITICAL,NextAuth,Secret for encrypting JWT tokens and session,Yes - production will fail without it,openssl rand -base64 32,Generate unique value never commit to git
NEXTAUTH_URL,nextauth url callback oauth,HIGH,NextAuth,Base URL for NextAuth callbacks,Yes for production,https://tubespark.com,Must match production domain exactly
DATABASE_URL,database postgres supabase connection,CRITICAL,Database,PostgreSQL connection string,Yes,postgresql://user:pass@host:5432/db,Use pooler URL for serverless never expose password
NEXT_PUBLIC_SUPABASE_URL,supabase url api public,CRITICAL,Supabase,Supabase project URL,Yes,https://xxx.supabase.co,Safe to expose (public)
NEXT_PUBLIC_SUPABASE_ANON_KEY,supabase anon key public,CRITICAL,Supabase,Supabase anonymous/public key,Yes,eyJhbGciOiJIUzI1NiIs...,Safe to expose protected by RLS
SUPABASE_SERVICE_ROLE_KEY,supabase service admin,CRITICAL,Supabase,Supabase service role key for admin operations,Only if using admin features,eyJhbGciOiJIUzI1NiIs...,NEVER expose to client - bypasses RLS
STRIPE_SECRET_KEY,stripe payment secret,CRITICAL,Stripe,Stripe secret API key,Yes if using payments,sk_live_xxx,Never expose to client use server-side only
STRIPE_WEBHOOK_SECRET,stripe webhook signature,CRITICAL,Stripe,Webhook signing secret for verification,Yes if using webhooks,whsec_xxx,Verify all webhook signatures
NEXT_PUBLIC_STRIPE_PUBLISHABLE_KEY,stripe public publishable,HIGH,Stripe,Stripe publishable key for client,Yes if using Stripe.js,pk_live_xxx,Safe to expose (public)
OPENAI_API_KEY,openai gpt api key,CRITICAL,AI,OpenAI API key,Yes if using OpenAI,sk-xxx,Rate limit usage monitor costs
ANTHROPIC_API_KEY,anthropic claude api key,CRITICAL,AI,Anthropic Claude API key,Yes if using Claude,sk-ant-xxx,Rate limit usage monitor costs
GOOGLE_CLIENT_ID,google oauth login,HIGH,OAuth,Google OAuth client ID,Yes if using Google login,xxx.apps.googleusercontent.com,Safe to expose (public)
GOOGLE_CLIENT_SECRET,google oauth secret,CRITICAL,OAuth,Google OAuth client secret,Yes if using Google login,GOCSPX-xxx,Never expose to client
SENTRY_DSN,sentry error tracking,HIGH,Monitoring,Sentry project DSN,Recommended for production,https://xxx@sentry.io/xxx,Safe to expose (public)
UPSTASH_REDIS_REST_URL,upstash redis cache rate limit,HIGH,Cache/Rate Limit,Upstash Redis REST URL,Yes if using rate limiting,https://xxx.upstash.io,Keep private
UPSTASH_REDIS_REST_TOKEN,upstash redis token,CRITICAL,Cache/Rate Limit,Upstash Redis authentication token,Yes if using rate limiting,AXxxYYY,Never expose
RESEND_API_KEY,resend email transactional,HIGH,Email,Resend API key for transactional emails,Yes if sending emails,re_xxx,Server-side only
NEXT_PUBLIC_POSTHOG_KEY,posthog analytics,MEDIUM,Analytics,PostHog project API key,Recommended for analytics,phc_xxx,Safe to expose (public)
NEXT_PUBLIC_APP_URL,app url base domain,HIGH,App,Base URL of the application,Recommended,https://tubespark.com,Used for absolute URLs
NODE_ENV,environment production development,HIGH,System,Node environment,Set by platform,production,Ensure production in prod
