Check,Keywords,Severity,Purpose,Description,Implementation,Metrics,Tools,Alerting
Error Tracking,sentry error exception crash,CRITICAL,Debug issues,Track all errors with context and stack traces,Configure Sentry with source maps and user context,"Error rate, error types, affected users, stack traces","Sentry, LogRocket, Bugsnag",Alert on error rate spike > 1%
Performance Monitoring,apm traces latency p99,HIGH,Identify bottlenecks,Monitor request latency and performance,Enable Vercel Analytics or custom APM,"P50/P95/P99 latency, throughput, error rate","Vercel Analytics, Datadog, New Relic",Alert on P95 > 2s
Real User Monitoring,rum web vitals user experience,HIGH,Measure real performance,Track Core Web Vitals from real users,Use Vercel Speed Insights or web-vitals library,"LCP, INP, CLS, FCP, TTFB by page/device","Vercel Speed Insights, web-vitals",Alert on CWV degradation
Uptime Monitoring,uptime ping health check,CRITICAL,Detect outages,Monitor application availability,Configure external uptime monitoring service,"Uptime %, response time, SSL expiry","Better Uptime, Pingdom, UptimeRobot",Alert immediately on downtime
Database Monitoring,postgres queries connections slow,HIGH,Database health,Monitor database performance and connections,Use Supabase dashboard or pg_stat_statements,"Query latency, connection count, cache hit ratio",Supabase Dashboard Grafana,Alert on slow queries > 1s
API Monitoring,endpoint response rate limit,HIGH,API health,Monitor API endpoint performance,Log response times and status codes,"Response time, success rate, error rate by endpoint","Vercel Logs, custom logging",Alert on error rate > 5%
User Analytics,posthog analytics events funnel,MEDIUM,Understand users,Track user behavior and conversion,Configure PostHog with custom events,"Page views, sessions, conversion funnels, retention","PostHog, Mixpanel, Amplitude",Weekly reports
Log Aggregation,logs structured search correlation,HIGH,Debug production,Centralize and search logs,Use structured logging with correlation IDs,"Log volume, error logs, warning logs","Vercel Logs, Datadog Logs, Axiom",Alert on error log patterns
Infrastructure Metrics,cpu memory disk serverless,MEDIUM,Resource usage,Monitor infrastructure resource usage,Use Vercel or cloud provider metrics,"Function duration, memory, cold starts",Vercel Dashboard AWS CloudWatch,Alert on resource limits
Custom Business Metrics,signups subscriptions revenue,MEDIUM,Business health,Track key business metrics,Implement custom event tracking,"New users, conversions, MRR, churn","PostHog, Stripe Dashboard",Weekly business reports
