Check,Keywords,Severity,Risk,Description,Detection Method,Remediation,Code Example,Tools
Hardcoded API Keys,api key hardcoded secret token,CRITICAL,Credential exposure,API keys should never be hardcoded in source code,Search for patterns like sk- pk_ api_key= in codebase,"Use environment variables, secrets manager","// ❌ BAD
const apiKey = 'sk-xxx123';
// ✅ GOOD
const apiKey = process.env.OPENAI_API_KEY;",GitGuardian Gitleaks TruffleHog
Database Credentials,database password connection string credentials,CRITICAL,Database breach,Database credentials must be in environment variables,Search for postgresql:// or password= in code,"Use DATABASE_URL env var, rotate credentials regularly","// ❌ BAD
const db = 'postgresql://user:password@host/db';
// ✅ GOOD
const db = process.env.DATABASE_URL;",GitGuardian npm audit
JWT Secrets,jwt secret token signing nextauth,CRITICAL,Session hijacking,JWT signing secrets must be strong and secret,Check NEXTAUTH_SECRET length and randomness,"Generate with: openssl rand -base64 32","// Generate secure secret
// Run: openssl rand -base64 32
// Store in NEXTAUTH_SECRET env var",Security audit
Private Keys,private key pem certificate ssl,CRITICAL,Full compromise,Private keys must never be in source code,Search for BEGIN PRIVATE KEY or .pem files,"Use secrets manager, certificate providers",Never commit private keys,GitGuardian Gitleaks
Webhook Secrets,webhook secret signature stripe,HIGH,Webhook spoofing,Webhook signing secrets must be secure,Check STRIPE_WEBHOOK_SECRET and similar,Store in environment variables verify all webhooks,"const isValid = stripe.webhooks.constructEvent(
  body,
  signature,
  process.env.STRIPE_WEBHOOK_SECRET!
);",Manual review
Environment Files,env file gitignore dotenv,HIGH,Credential exposure,.env files must never be committed to git,Check .gitignore includes .env*,"Add .env* to .gitignore, use .env.example","# .gitignore
.env
.env.local
.env.*.local",git status
Logging Sensitive Data,log password token sensitive pii,HIGH,Data leak,Never log sensitive data like passwords or tokens,Search for console.log with sensitive variables,"Sanitize logs, use structured logging with filters","// ❌ BAD
console.log('User password:', password);
// ✅ GOOD
logger.info({ userId: user.id }, 'User logged in');",Log review
Client-Side Secrets,next_public secret client exposed,HIGH,Secret exposure,Only NEXT_PUBLIC_ vars are safe for client,Review all NEXT_PUBLIC_ variables,"Move secrets to server-side, use API routes","// ❌ BAD
NEXT_PUBLIC_STRIPE_SECRET_KEY=sk_live_xxx
// ✅ GOOD
STRIPE_SECRET_KEY=sk_live_xxx (server only)",Manual review
Secret Rotation,rotation expire refresh credential,MEDIUM,Stale credentials,Secrets should be rotated periodically,Check when secrets were last rotated,"Implement rotation schedule, use short-lived tokens","// Use short-lived tokens when possible
const token = await getShortLivedToken();
// expires in 1 hour",Secrets manager
Third-Party Tokens,oauth token refresh google facebook,HIGH,Account compromise,OAuth tokens must be stored securely,Check token storage mechanism,"Store in encrypted database, implement refresh","// Store tokens encrypted in database
await supabase.from('tokens').insert({
  user_id: userId,
  access_token: encrypt(token),
  expires_at: expiresAt,
});",Security audit
