Metric,Keywords,Target Value,Impact,Common Issues,Optimization,Code Example,Tools
LCP,largest contentful paint loading speed hero,< 2.5 seconds (Good) 2.5-4.0 (Needs Improvement) > 4.0 (Poor),Measures loading performance. Largest visible element in viewport.,Large unoptimized images | Slow server response | Render-blocking resources | Client-side rendering,"Use Next/Image with priority for hero | Preload critical assets | Use CDN | Optimize server response | Static generation where possible","<Image src={heroImage} alt={t('hero.alt')} priority width={1200} height={600} sizes='100vw' />",PageSpeed Insights | Chrome DevTools Performance | Web Vitals Extension
FID,first input delay interactivity response,< 100ms (Good) 100-300ms (Needs Improvement) > 300ms (Poor),Measures interactivity. Time from first interaction to browser response.,Heavy JavaScript execution | Long tasks blocking main thread | Third-party scripts,"Minimize JavaScript | Code split with dynamic imports | Defer non-critical JS | Use web workers for heavy computation","const HeavyComponent = dynamic(() => import('./HeavyComponent'), { loading: () => <Skeleton /> });",Chrome DevTools Performance | Lighthouse | Web Vitals
INP,interaction to next paint response delay,< 200ms (Good) 200-500ms (Needs Improvement) > 500ms (Poor),Measures responsiveness throughout page lifecycle. Replaces FID in 2024.,Complex event handlers | State updates causing re-renders | Synchronous operations,"Use useTransition for non-urgent updates | Debounce inputs | Optimize React renders | Use Server Components","const [isPending, startTransition] = useTransition(); startTransition(() => { setFilter(value); });",Chrome DevTools Performance | INP Debugger
CLS,cumulative layout shift visual stability,< 0.1 (Good) 0.1-0.25 (Needs Improvement) > 0.25 (Poor),Measures visual stability. Unexpected layout shifts during page load.,Images without dimensions | Ads/embeds without reserved space | Dynamically injected content | Web fonts causing FOUT,"Always set width/height on images | Reserve space for dynamic content | Use font-display: optional | Avoid inserting content above existing content","<Image src={img} alt={alt} width={400} height={300} /> /* Always specify dimensions */",PageSpeed Insights | Layout Shift Debugger | Chrome DevTools
TTFB,time to first byte server response,< 800ms (Good) 800-1800ms (Needs Improvement) > 1800ms (Poor),Measures server response time. Time until first byte received.,Slow server | No caching | Database queries | Cold starts on serverless,"Use CDN | Enable caching | Optimize database queries | Use Edge functions | Static generation","export const revalidate = 3600; // ISR every hour. Or use generateStaticParams for full static.",Chrome DevTools Network | WebPageTest | Lighthouse
Image Optimization,images webp avif lazy loading,Appropriate format and size per viewport,Images often largest contributor to page weight and LCP.,Unoptimized images | Wrong format | No lazy loading | Missing srcset,"Use Next/Image | WebP/AVIF formats | Responsive sizes | Lazy load below fold | Blur placeholder","<Image src={img} alt={t('alt')} fill sizes='(max-width: 768px) 100vw, 50vw' placeholder='blur' blurDataURL={blurUrl} />",Squoosh | ImageOptim | PageSpeed Insights
Font Loading,fonts web fonts FOUT FOIT preload,No layout shift from font loading,Web fonts can cause layout shift and delay rendering.,Flash of unstyled text | Flash of invisible text | Too many font files | No preload,"Use font-display: swap or optional | Preload critical fonts | Subset fonts | Use variable fonts | Host fonts locally","// next.config.js: optimizeFonts: true. Use next/font for automatic optimization.",Chrome DevTools Network | Font Style Matcher
Third Party Scripts,third party analytics tracking widgets,Minimal impact on main thread,Third-party scripts often cause performance issues.,Blocking resources | Large bundles | Undeferred loading | Too many scripts,"Load async/defer | Use Partytown for workers | Lazy load non-critical | Audit regularly","<Script src='https://analytics.com/script.js' strategy='lazyOnload' />",Chrome DevTools Performance | Lighthouse | Request Map
JavaScript Bundle,bundle size code splitting tree shaking,< 200KB initial JS (compressed),Large JavaScript bundles delay interactivity and increase load time.,No code splitting | Unused dependencies | No tree shaking | Duplicate code,"Dynamic imports | Analyze bundle | Remove unused deps | Use Server Components | Tree shake","const Modal = dynamic(() => import('./Modal'), { ssr: false }); // Load only when needed",Bundle Analyzer | Webpack Bundle Analyzer | Source Map Explorer
Server Components,rsc server components streaming,Minimize client JavaScript,Next.js 13+ Server Components reduce client bundle size.,Using client components for static content | Not leveraging streaming | Prop drilling,"Default to Server Components | Use 'use client' only when needed | Stream with Suspense | Parallel data fetching","// Default is Server Component. Add 'use client' only for interactivity. Use Suspense for streaming.",Next.js DevTools | React DevTools
