Configuration,Keywords,Use Case,Description,Locales,X-Default,Code Example,Common Mistakes
Basic Multilingual,hreflang alternates languages basic,Standard multilingual SaaS,Basic hreflang setup for sites with content in multiple languages. Each page has equivalent content in all supported locales.,"pt-BR, en-US, es, fr, zh-CN",en-US,"alternates: { canonical: `${baseUrl}/${locale}${path}`, languages: { 'pt-BR': `${baseUrl}/pt-BR${path}`, 'en-US': `${baseUrl}/en-US${path}`, 'es': `${baseUrl}/es${path}`, 'fr': `${baseUrl}/fr${path}`, 'zh-CN': `${baseUrl}/zh-CN${path}`, 'x-default': `${baseUrl}/en-US${path}` } }","Missing x-default | Self-referencing hreflang missing | Using relative URLs instead of absolute"
Regional Variants,regional country specific market,Different content per region,For sites targeting specific regions with localized content. Example: es-ES vs es-MX for Spain vs Mexico Spanish.,"pt-BR, en-US, en-GB, es-ES, es-MX, fr-FR, fr-CA, zh-CN, zh-TW",en-US,"Use ISO 639-1 language code with ISO 3166-1 Alpha-2 country code. Example: es-MX for Mexican Spanish.","Mixing language-only and region codes inconsistently | Using non-standard codes"
Partial Translation,partial incomplete some pages,Not all pages translated,When some pages exist only in certain languages. Only include hreflang for pages that actually exist in that language.,"Varies per page",Primary language,"Only add alternates for pages that exist. Don't point to 404s or auto-translated content.","Pointing hreflang to non-existent pages | Using machine translation without review"
Canonical Cross-Domain,cross-domain multiple domains,Multiple country domains,For sites using ccTLDs like example.com.br and example.fr. Each domain serves a specific market.,"Domain per locale",Primary market domain,"Use absolute URLs pointing to correct domain. Ensure all domains have reciprocal hreflang tags.","Forgetting reciprocal links | Canonical conflicts between domains"
Subdomain Structure,subdomain structure br.example,Subdomains per language,Using subdomains like br.example.com for Brazilian Portuguese. Good for separate hosting/CDN per region.,"Subdomain per locale",www or en subdomain,"pt-BR: br.example.com | en-US: www.example.com | es: es.example.com","Inconsistent subdomain naming | Missing www subdomain hreflang"
Subdirectory Structure,subdirectory path locale prefix,Path-based locale,Using paths like /pt-BR/ for locale prefix. Most common for Next.js apps with internationalized routing.,"Path per locale",Primary path or root,"pt-BR: /pt-BR/page | en-US: /en-US/page. Use routing.ts for Next.js intl.","Locale not in URL at all | Inconsistent path structure"
X-Default Strategy,x-default fallback default language,Default/fallback language,x-default tells search engines which version to show when no locale matches. Usually primary market or language detection page.,"N/A - fallback only",Required,"'x-default': 'https://example.com/en-US/page' OR 'x-default': 'https://example.com/' (for auto-detect)","Missing x-default entirely | Pointing x-default to language selector instead of content"
Dynamic Pages,dynamic user-generated variable,User-generated content,For pages with dynamic content like user profiles or generated reports. May need selective indexing.,"Same as static pages",Primary language,"Apply same hreflang rules. Consider noindex for user-specific content.","Indexing personalized content | Different hreflang per user session"
Paginated Content,pagination pages list archive,Paginated lists/archives,Blog archives or product lists with pagination. Each page needs proper hreflang pointing to equivalent page number.,"All locales per page number",Primary language,"Page 2 in pt-BR links to page 2 in en-US, not page 1. Use consistent pagination params.","Linking paginated page to page 1 of other locale | Inconsistent pagination URLs"
Single Language Fallback,single fallback untranslated,Content in one language only,When content only exists in one language. Don't add hreflang for missing translations.,"Original language only","Not needed if single language","Only include hreflang for the language the content exists in. Don't fake translations.","Adding hreflang for non-existent translations | Auto-translating for hreflang"
