Topic,Keywords,Description,Search Engine,Market Share,Optimization,Local Keywords,Code Example,Cultural Notes
Title Optimization,titulo meta title seo,Otimização de títulos para o mercado brasileiro. Limite de 60 caracteres.,Google.com.br,95%+ do mercado de busca,Use palavras-chave em português brasileiro. Evite anglicismos desnecessários. Inclua benefícios claros.,Use 'grátis' não 'free' | 'Como fazer' | 'Melhor' | 'Guia completo',"title: 'Gerador de Roteiros para YouTube - Grátis | TubeSpark'","Brasileiros preferem linguagem informal e direta. Use 'você' não 'tu'."
Description Meta,descricao meta description,Meta descriptions que convertem no Brasil. 150-160 caracteres.,Google.com.br,N/A,Inclua CTA em português. Use verbos no imperativo ou promessas de benefício.,CTAs: 'Comece agora' | 'Experimente grátis' | 'Saiba mais' | 'Descubra como',"description: 'Crie roteiros profissionais para YouTube em minutos. Teste grátis por 7 dias!'","Brasileiros respondem bem a urgência e ofertas especiais."
URL Structure,url estrutura slug,Estrutura de URLs otimizada para SEO em português.,Google.com.br,N/A,Use hífens. Palavras em português sem acentos. Curto e descritivo.,/como-criar-roteiros-youtube | /precos | /funcionalidades | /sobre-nos,"/pt-BR/como-criar-roteiros-youtube NOT /pt-BR/how-to-create-scripts","Remova acentos de URLs: 'precos' não 'preços'. Use português para slugs."
Local Keywords,palavras-chave brasil mercado,Palavras-chave específicas do mercado brasileiro.,Google.com.br,N/A,Pesquise termos brasileiros vs portugueses de Portugal. Use Google Trends Brasil.,YouTube Brasil | Criador de conteúdo | Monetização | Inscritos | Visualizações | Engajamento,"Use 'inscritos' (BR) não 'subscritores' (PT)","Português brasileiro difere significativamente de Portugal. Sempre use variante BR."
Mobile SEO,mobile celular smartphone,Brasil é mobile-first. Maioria dos acessos via smartphone.,Google.com.br,80%+ acessos mobile,Priorize experiência mobile. Teste em conexões lentas (3G/4G). Otimize para telas menores.,N/A,"Use responsive design. Teste com throttling de rede.","Muitos brasileiros usam planos de dados limitados. Otimize tamanho de página."
Social Signals,redes sociais instagram tiktok,Integração com redes sociais populares no Brasil.,Google.com.br,N/A,Otimize Open Graph para WhatsApp/Instagram. Considere compartilhamento social.,Hashtags BR: #YouTubeBrasil #CriadorDeConteudo #MarketingDigital,"openGraph: { locale: 'pt_BR', siteName: 'TubeSpark' }","WhatsApp é dominante no Brasil. Otimize preview de links para WhatsApp."
E-commerce SEO,ecommerce loja virtual compras,SEO para e-commerce no mercado brasileiro.,Google.com.br,N/A,Inclua preços em BRL. Mostre parcelamento. Use termos de pagamento brasileiros.,Pix | Boleto | Parcelado | Frete grátis | Entrega rápida,"Use BRL para preços. Mostre 'em até 12x sem juros'.","Brasileiros valorizam parcelamento e múltiplas opções de pagamento."
Local Business,negocio local endereco cidade,SEO local para empresas com presença física no Brasil.,Google.com.br + Google Maps,N/A,Use endereço completo com CEP. Inclua telefone com +55. Cadastre no Google Meu Negócio.,Bairro | Cidade | Estado | CEP | Telefone (DDD),"LocalBusiness schema com addressRegion = 'SP' (sigla estado)","Inclua referências de bairro/região para SEO local."
Content Length,conteudo tamanho texto,Comprimento ideal de conteúdo para ranqueamento no Brasil.,Google.com.br,N/A,Artigos longos (2000+ palavras) ranqueiam bem. Use subtítulos e listas. Quebre parágrafos.,N/A,"Artigos completos com H2/H3 estruturados. Use listas e bullet points.","Brasileiros preferem conteúdo visual. Use imagens e vídeos para quebrar texto."
Trust Signals,confianca seguranca selos,Sinais de confiança valorizados no mercado brasileiro.,Google.com.br,N/A,Mostre selos de segurança. Inclua CNPJ. Mostre depoimentos de clientes brasileiros.,Reclame Aqui | CNPJ | SSL | Depoimentos | Avaliações,"Inclua link para página no Reclame Aqui se aplicável.","Reclame Aqui é muito consultado. Mantenha boa reputação lá."
